WORD,OCCURRENCES
GME,76
from,50
not,50
holding,41
loss,40
or,37
as,34
will,33
like,33
I’m,32
still,32
so,29
some,28
💎,26
out,25
🚀,25
shares,24
do,22
your,22
get,22
hold,21
porn,21
go,21
one,19
HOLD,18
TO,18
into,18
short,17
back,17
about,17
know,17
We,17
was,17
AMC,16
don't,16
down,16
us,16
NOT,15
they,15
I'm,14
buy,14
see,14
bought,14
now,13
stock,13
has,13
buying,13
no,13
think,13
an,13
been,13
by,13
$GME,12
day,12
money,12
don’t,12
last,12
need,12
going,12
time,12
would,12
before,12
Not,12
This,12
2,12
moon,12
these,11
fucking,11
doing,11
long,11
today,11
diamond,11
part,10
retards,10
WSB,10
could,10
here,10
lose,10
it’s,10
today.,10
keep,10
paper,10
Still,10
STILL,9
first,9
Short,9
together,9
over,9
right,9
&,9
because,9
had,9
DD,9
Holding,9
than,9
selling,9
didn’t,9
sell,9
🦍,9
after,9
strong,9
losses,9
another,9
FUCKING,8
tomorrow,8
make,8
HOLDING,8
THIS,8
much,8
did,8
new,8
am,8
dip,8
days,8
till,8
our,8
he,8
guys,7
how,7
made,7
few,7
stop,7
too,7
ain’t,7
red,7
You,7
why,7
Why,7
it's,7
hear,7
who,7
market,7
rocket,7
big,7
If,7
post,6
his,6
share,6
off,6
account,6
AND,6
want,6
Melvin,6
They,6
Loss,6
What,6
way,6
5,6
fellow,6
It,6
take,6
Just,6
went,6
afford,6
squeeze,6
being,6
their,6
💎👐,6
Bought,6
BB,6
hands,6
BUY,6
IN,6
stocks,6
come,6
gains,6
until,6
since,6
next,6
brain,6
But,6
"GME,",6
many,6
little,6
feel,6
/,6
can’t,6
took,6
ape,5
"me,",5
point,5
any,5
im,5
then,5
price,5
cuz,5
them,5
Fuck,5
data,5
shorts,5
high,5
handed,5
plays,5
order,5
Shares,5
IS,5
10,5
week.,5
SEC,5
trading,5
two,5
other,5
RH,5
sell.,5
GameStop,5
YOLO,5
great,5
It's,5
baby,5
Hold,5
those,5
never,5
people,5
🚀🚀🚀,5
may,5
game,5
should,5
sure,5
volume,5
good,5
Down,5
in.,5
porn.,5
even,5
sale,5
"today,",5
put,5
holding.,5
won't,5
financial,5
So,4
🙌,4
call,4
meme,4
I’d,4
real,4
MORE,4
"sell,",4
through,4
something,4
please,4
posting,4
100,4
waiting,4
term,4
yet,4
thought,4
wanted,4
💎🙌,4
either,4
WILL,4
we’re,4
Gains,4
ready,4
can't,4
Let's,4
reporting,4
dips,4
